[Fri Jun  5 15:57:07.182 2009] 0.001 sec [scan/2/rel 200 (0,2)] [*] 
[Fri Jun  5 15:57:17.651 2009] 0.001 sec [all/2/rel 2 (0,2)] [*] abażur
[Fri Jun  5 15:57:36.098 2009] 0.001 sec [all/2/rel 1 (0,2)] [*] abażurek
[Fri Jun  5 15:57:58.160 2009] 0.001 sec [all/2/rel 1 (0,2)] [*] abażurek
[Fri Jun  5 15:58:38.663 2009] 0.001 sec [all/2/rel 1 (0,2)] [*] abażurek
[Fri Jun  5 15:58:40.512 2009] 0.001 sec [all/2/rel 1 (0,2)] [*] abażurek
[Fri Jun  5 15:59:19.511 2009] 0.001 sec [all/2/rel 1 (0,2)] [*] abażurek
[Fri Jun  5 15:59:20.724 2009] 0.002 sec [all/2/rel 1 (0,2)] [*] abażurek
[Fri Jun  5 15:59:36.588 2009] 0.001 sec [all/2/rel 1 (0,2)] [*] abażurek
[Fri Jun  5 15:59:37.841 2009] 0.001 sec [all/2/rel 1 (0,2)] [*] abażurek
[Fri Jun  5 15:59:43.164 2009] 0.001 sec [scan/2/rel 200 (0,2)] [*] 
[Fri Jun  5 16:00:51.281 2009] 0.001 sec [scan/2/rel 200 (0,2)] [*] 
[Fri Jun  5 16:02:27.063 2009] 0.001 sec [scan/2/rel 200 (0,2)] [*] 
[Fri Jun  5 16:02:33.539 2009] 0.001 sec [scan/2/rel 200 (0,2)] [*] 
[Fri Jun  5 16:02:49.108 2009] 0.001 sec [scan/2/rel 200 (0,2)] [*] 
[Fri Jun  5 16:03:27.538 2009] 0.001 sec [scan/2/rel 200 (0,2)] [*] 
[Fri Jun  5 16:03:30.830 2009] 0.001 sec [scan/2/rel 200 (0,2)] [*] 
[Fri Jun  5 16:03:40.730 2009] 0.001 sec [scan/2/rel 200 (0,2)] [*] 
[Fri Jun  5 16:03:52.151 2009] 0.001 sec [all/2/rel 2 (0,2)] [*] abażur
